Id,Label,timeset,d0,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
모바일,모바일,,172,0,1,10,5,0.368421,0.391667,0,0.018076,0.018076,0.002445,2,0,0,0,0.044523
발행,발행,,342,0,3,64,5,0.333333,0.355208,0,0.017318,0.017318,0.004863,2,0,1,3,0.043964
빅,빅,,158,0,2,31,4,0.342508,0.362351,0,0.016998,0.016998,0.003603,0,0,1,1,0.041491
오픈,오픈,,204,0,2,22,4,0.358974,0.383929,111,0.016241,0.016241,0.005486,1,0,0,0,0.040097
지급,지급,,250,0,1,10,4,0.356688,0.377976,0,0.016175,0.016175,0.002395,0,0,0,0,0.039158
참가,참가,,163,0,1,10,5,0.342508,0.358929,0,0.012794,0.012794,0.002376,0,0,0,0,0.030645
사례,사례,,225,0,1,10,4,0.341463,0.357887,0,0.011766,0.011766,0.002407,0,0,0,0,0.02847
기록,기록,,136,0,1,11,5,0.337349,0.352232,0,0.009805,0.009805,0.002398,5,0,0,0,0.023961
개선,개선,,264,0,1,12,5,0.328446,0.344345,0,0.008803,0.008803,0.002385,0,0,0,0,0.021567
인공지능,인공지능,,266,0,2,23,4,0.326531,0.343006,111,0.007167,0.007167,0.005629,6,0,0,0,0.018242
법정,법정,,132,0,1,11,5,0.325581,0.339881,0,0.006552,0.006552,0.002483,2,0,0,0,0.016662
카드,카드,,258,0,1,10,5,0.320917,0.33244,0,0.005094,0.005094,0.002679,3,0,0,0,0.012818
교환,교환,,159,0,2,23,5,0.290909,0.310714,0,0.002801,0.002801,0.005026,5,0,1,1,0.008859
업자,업자,,135,0,2,22,5,0.290909,0.310714,0,0.002801,0.002801,0.005026,5,0,1,1,0.008859
세탁,세탁,,153,0,1,11,5,0.312849,0.324554,0,0.002955,0.002955,0.00295,2,0,0,0,0.008014
사법,사법,,96,0,1,12,5,0.290155,0.30625,0,0.002623,0.002623,0.002889,5,0,0,0,0.00745
사이버,사이버,,146,0,1,10,5,0.299465,0.312798,0,0.00207,0.00207,0.003089,5,0,0,0,0.005809
리스크,리스크,,206,0,1,10,5,0.283544,0.296875,0,0.002197,0.002197,0.003015,5,0,0,0,0.005805
암호,암호,,162,0,1,13,5,0.298667,0.31131,0,0.001632,0.001632,0.003713,4,0,0,0,0.004769
이노베이션,이노베이션,,172,0,1,11,5,0.264775,0.277381,0,0.001034,0.001034,0.003637,1,0,0,0,0.003159
인간,인간,,115,0,1,12,5,0.246696,0.256399,0,0.000456,0.000456,0.003695,6,0,0,0,0.001885
스테이블,스테이블,,123,1,1,10,1,1,1,0,0,0,0.008696,7,1,0,0,0.000813
코인,코인,,130,1,1,10,1,1,1,0,0,0,0.008696,7,1,0,0,0.000813
