Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
카카오페이,카카오페이,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전자금융거래법,전자금융거래법,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
플랫,플랫,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
폼,폼,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보험,보험,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이주열,이주열,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
총재,총재,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오픈뱅킹,오픈뱅킹,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코인,코인,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
뱅크,뱅크,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
증권,증권,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부담,부담,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신문,신문,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쇼핑,쇼핑,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
증권사,증권사,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
뱅킹,뱅킹,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오프라인,오프라인,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
체크카드,체크카드,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
정무,정무,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
통화,통화,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금리,금리,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스테이블,스테이블,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사,사,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
저축,저축,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
썸,썸,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
빗,빗,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
자산,자산,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
삼성,삼성,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
하루,하루,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평균,평균,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
돈,돈,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
움,움,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
더리,더리,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
위안,위안,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영업,영업,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
케이,케이,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예금,예금,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
회장,회장,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현대,현대,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
데이터,데이터,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아이,아이,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전문,전문,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
페이스북,페이스북,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진출,진출,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스냅,스냅,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
타임,타임,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대비,대비,,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
