,Topic,Count,Name,Keywords
0,-1,2,-1_lei_gdpr_correspondent_regulation,lei gdpr correspondent regulation diligence smes protection paper customer development
1,0,151,0_payments_payment_paper_banks,payments payment paper banks services cash market systems money bank
2,1,11,1_fraud_security_paper_policy,fraud security paper policy payment prevention institutions transactions dutch system
