,Topic,Count,Name,Keywords
61,60,16,60_놀자_광고비_거래소_캐피탈사,놀자 광고비 거래소 캐피탈사 신세계 수사 의원 가상 점검 의혹
62,61,15,61_연휴_공휴일_만기_추석,연휴 공휴일 만기 추석 대금 당일 임시 도래 대출 지급
63,62,15,62_페이_쿠팡_계좌_결제,페이 쿠팡 계좌 결제 등록 서비스 카드 해피 비자 플랫
64,63,15,63_매수_의견_유지_제시,매수 의견 유지 제시 동종 센서스 포트폴리오 투자 목표 주가
65,64,14,64_클라우드_공공_토스트_사업,클라우드 공공 토스트 사업 흥원 티맥스 성능 보안 센터 김동훈
66,65,14,65_리플_치과_은행_결제,리플 치과 은행 결제 멜로 기관 스위프트 시스템 참가 금융망
67,66,14,66_보안_인증_스마트_삼성전자,보안 인증 스마트 삼성전자 획득 비바리퍼블리카 녹스 국제 표준 시큐리티
68,67,14,67_미래에셋대우_등록_위챗_증권사,미래에셋대우 등록 위챗 증권사 겸영 텐센트 의결 국내 대행업 체결
69,68,14,68_스타벅스_백트_비트코인_모건,스타벅스 백트 비트코인 모건 펀드 가상자산 선물 다이먼 켈리 이정훈
70,69,13,69_아이디어_공모전_상금_핀테크,아이디어 공모전 상금 핀테크 특전 심사 시상 창업 부문 수상자
71,70,13,70_혁신_산업_인공지능_금융,혁신 산업 인공지능 금융 디지털 기술 신년사 회장 변화 핑안
72,71,13,71_알리페이_중국_마이지_앤트파이낸셜,알리페이 중국 마이지 앤트파이낸셜 대출 안면 알리바바 모바일 국유 소비
73,72,13,72_국세청_탈세_역외_계좌,국세청 탈세 역외 계좌 해외 비밀 혐의자 조사 세무 혐의
74,73,13,73_달러_투자_분기_핀테크,달러 투자 분기 핀테크 미국 유니콘 기업 지난해 사모 규모
75,74,12,74_가상화폐_코인_도지_거래소,가상화폐 코인 도지 거래소 암호화폐 시장 투자자 정철진 콘테 소토
76,75,12,75_암호화폐_가상화폐_모인_규제,암호화폐 가상화폐 모인 규제 정부 스테이블 가상 블록체인 가상자산 코인
77,76,12,76_감소_증가_코로나19_기기,감소 증가 코로나19 기기 부산 카드 결제 이용 증가세 대비
78,77,12,77_캄보디아_양국_협력_대통령,캄보디아 양국 협력 대통령 총리 프놈펜 코사인 훈센 한국 아세안
79,78,12,78_테스트_분산원장_블록체인_복구,테스트 분산원장 블록체인 복구 리플 채권 시스템 기술 금융망 한은
80,79,11,79_토스뱅크_토스_보험_한화투자증권,토스뱅크 토스 보험 한화투자증권 대리점 네이버 플랫폼 라인 비바리퍼블리카 자본금
81,80,11,80_행장_그룹_버스_블록체인,행장 그룹 버스 블록체인 담당관 네트워크 니코스 글루 개발 미쓰
82,81,11,81_블록체인_환급_면세점_해피,블록체인 환급 면세점 해피 검색 나인 쇼핑 특허 사후 오비
83,82,11,82_부문_인도_한경_밸런스,부문 인도 한경 밸런스 수상 이철원 히어로 최우 분야 미니스
84,83,11,83_알리페이_중국_모바일_알리바바,알리페이 중국 모바일 알리바바 위챗 포켓 가맹점 시장 결제 텐센트
85,84,11,84_장비_플러스_협력사_계약,장비 플러스 협력사 계약 유비 다산 기가 홈서비스 규모 네트
86,85,11,85_증가_감소_대비_평균,증가 감소 대비 평균 소비 카드 지난해 기기 실물 관광객
87,86,11,86_인터넷전문은행_뱅크_인터넷_은행,인터넷전문은행 뱅크 인터넷 은행 일본 재팬 설립 산업 고객 모델
88,87,10,87_외국어_금융_플랫폼_보험,외국어 금융 플랫폼 보험 우리말 문체 히라노 용어 혁신 핀테크
89,88,10,88_네이버_통장_네이버파이낸셜_기사,네이버 통장 네이버파이낸셜 기사 알리바바 사업 차트 금융 동생 앤트파이낸셜
