은행	138.42109732785565
카드	134.26965294364902
디지털	93.85777487591045
핀테크	80.70822257817164
페이	67.53320557058248
수수료	65.50665145467438
플랫폼	62.65233477525424
신용	54.285050309215094
혁신	53.25807424467328
네이버	53.24390241392401
화폐	51.20611476635915
금융	50.13936946995976
금지	47.72020367737983
뉴스	47.249978774214874
모바일	41.64446709216884
지급결	41.3144472643998
가맹점	39.925917224557274
계좌	39.78276484340388
블록	39.72339509767413
가상	39.51841556997848
비트	38.448620898759586
발행	37.980707150432586
중국	37.35620251332864
송금	35.53150649687623
글로벌	34.96542907967678
데이터	34.77692606807681
대출	34.42614781839778
온라인	34.23857676348799
계획	34.07999446988045
위원	33.9118898951203
증권	32.786062919293045
코인	32.22950084040229
자산	31.530482314159247
개정안	31.39983894266352
배포	30.61375513340727
암호	30.087946635653772
거래소	30.03942522051226
카카오	29.311493723135236
대비	28.533078409621652
빅테크	27.452995834883424
진출	26.648543083968647
전문	26.456231702467665
구독	26.1141709227914
기준	25.51373655376438
통화	24.012579215675856
한은	23.18842524041861
종합	22.687175207687307
보험	22.68173013117326
예정	22.11728429153203
인터넷	21.68772587037093
마련	21.427661495792723
오픈	21.125819150437245
영업	21.10729296293177
보안	20.248086329940055
통신	19.78202002618444
토스	19.573106174876383
이번	19.330258219458266
중앙	18.99351043562534
국회	18.77284194180185
코로나19	18.25681415378934
한국	18.14113127464967
출시	17.997199291422326
총재	17.94246280194003
판매	17.766428942264223
삼성	17.743744312979995
등록	17.616079271261302
회장	17.61394305432553
오전	17.57738258927931
금액	17.511288551238742
강조	17.487279930693305
매출	17.41838859167069
허용	17.025633862434784
뱅크	16.721954753503372
전자	16.70602566537537
금리	16.349763930507503
자본	16.282715983936406
분기	16.278277167336945
쇼핑	16.12313770107914
스마트	16.075848426403162
인증	15.794163326526403
유통	15.125701028422569
준비	14.930733721638411
경영	14.900366596940403
뱅킹	14.894588115611405
공개	14.859976101303667
프로	14.746365730557173
전금법	14.739281633070382
실적	14.73704249881795
신한	14.558440483978105
포인트	14.164297843097621
시행	13.901474013255138
부담	13.774816712507365
감소	13.604527581441431
대금	13.57837428642556
통합	13.446780695549183
교수	13.40849337738893
법인	13.400052076580018
내년	13.218858751211297
주식	13.187722897191325
청산	12.98900665906524
